32;0.3671073489296299;linear;sgd;64;0.2543884090275843
64;0.25764043248072455;tanh;rmsprop;128;0.2132906101978267
64;0.23634271098298437;tanh;adam;256;0.2490944552800223
32;0.38230833827442506;tanh;adam;128;0.3839509612747008
64;0.4482560975599062;tanh;rmsprop;256;0.2256896071329061
32;0.3671073489296299;linear;sgd;64;0.4991641125993896
64;0.25764043248072455;tanh;rmsprop;128;0.4134856506156602
64;0.23634271098298437;tanh;adam;256;0.4536082474060728
32;0.38230833827442506;tanh;adam;128;0.45987740317637227
64;0.4482560975599062;tanh;rmsprop;256;0.3780997492503774
